天津联通,#genre#
曲艺大观,http://nas.hssvm.com:8888/udp/225.1.2.53:5002
食全食美,http://nas.hssvm.com:8888/udp/225.1.1.108:5002
爱心购,http://nas.hssvm.com:8888/udp/225.1.2.132:5002
天视家居,http://nas.hssvm.com:8888/udp/225.1.1.243:5002
天视文旅,http://nas.hssvm.com:8888/udp/225.1.2.123:5002
IPTV导视-联通1 SD,http://nas.hssvm.com:8888/udp/225.1.1.64:5001
IPTV导视-联通2 SD,http://nas.hssvm.com:8888/udp/225.1.1.100:5001
IPTV3+ SD,http://nas.hssvm.com:8888/udp/225.1.1.201:5002
IPTV5+,http://nas.hssvm.com:8888/udp/225.1.1.106:5002
IPTV足球 SD,http://nas.hssvm.com:8888/udp/225.1.1.105:5002
精彩影视,http://nas.hssvm.com:8888/udp/225.1.1.141:5002
901 SD,http://nas.hssvm.com:8888/udp/225.1.1.78:5002
902,http://nas.hssvm.com:8888/udp/225.1.1.79:5002
天津三佳购物,http://nas.hssvm.com:8888/udp/225.1.1.151:5002
东方购物,http://nas.hssvm.com:8888/udp/225.1.1.181:5002
中视购物 SD,http://nas.hssvm.com:8888/udp/225.1.2.85:5002
央广购物1 SD,http://nas.hssvm.com:8888/udp/225.1.1.65:5002
央广购物2 SD,http://nas.hssvm.com:8888/udp/225.1.1.238:5002
聚鲨环球精选1 SD,http://nas.hssvm.com:8888/udp/225.1.1.102:5002
聚鲨环球精选2 SD,http://nas.hssvm.com:8888/udp/225.1.1.245:5002
好享购物 SD,http://nas.hssvm.com:8888/udp/225.1.1.224:5002
优购物 SD,http://nas.hssvm.com:8888/udp/225.1.1.225:5002
家有购物 SD,http://nas.hssvm.com:8888/udp/225.1.1.226:5002
快乐购 SD,http://nas.hssvm.com:8888/udp/225.1.2.24:5002
风尚购物 SD,http://nas.hssvm.com:8888/udp/225.1.2.204:5002
时尚购物 SD,http://nas.hssvm.com:8888/udp/225.1.1.242:5002
天津文艺广播,http://nas.hssvm.com:8888/udp/225.1.1.171:5002
天津经济广播,http://nas.hssvm.com:8888/udp/225.1.1.172:5002
天津新闻广播,http://nas.hssvm.com:8888/udp/225.1.1.173:5002
天津生活广播,http://nas.hssvm.com:8888/udp/225.1.1.174:5002
天津交通广播,http://nas.hssvm.com:8888/udp/225.1.1.175:5002
天津相声广播,http://nas.hssvm.com:8888/udp/225.1.1.176:5002
天津小说广播,http://nas.hssvm.com:8888/udp/225.1.1.177:5002
